"GENOTYPE","Winter_2013.LAe","Spring_2012.LAe","Spring_2013.LAe","Winter_2013.WD.LAl","Winter_2013.WW.LAl","Spring_2012.WD.LAl","Spring_2012.WW.LAl","Spring_2013.WD.LAl","Spring_2013.WW.LAend","Spring_2013.WW.gs_max","Spring_2013.WD.gs_max","Winter_2013.WW.gs_max","Winter_2013.WD.gs_max","Spring_2012.WW.gs_max","Spring_2012.WD.gs_max","Spring_2013.WW.Trate","Spring_2013.WD.Trate","Winter_2013.WW.Trate","Winter_2013.WD.Trate","Spring_2012.WW.Trate","Spring_2012.WD.Trate","Spring_2013.WW.Biol","Spring_2013.WD.Biol","Winter_2013.WW.Biol","Winter_2013.WD.Biol","Spring_2012.WW.Biol","Spring_2012.WD.Biol","Spring_2013.WW.WU","Spring_2013.WD.WU","Winter_2013.WW.WU","Winter_2013.WD.WU","Spring_2012.WW.WU","Spring_2012.WD.WU","Spring_2013.WW.WUE","Spring_2013.WD.WUE","Winter_2013.WW.WUE","Winter_2013.WD.WUE","Spring_2012.WW.WUE","Spring_2012.WD.WUE","Winter_2013.Be","Spring_2013.Be","Spring_2012.Be"
"UH_P074",0.086297924,0.067221826,0.099261065,0.245487675,0.298713789,0.158463326,0.243256934,0.297660992,0.289936277,44.51979578,33.4898589,44.82511343,38.52331751,65.99117764,51.17548609,11.96150625,8.852235253,9.76786288,10.33675315,15.63654085,12.60217524,256.8130596,207.2611223,291.0101657,191.5217325,234.7448348,178.7864883,3.671858985,3.132044138,2.476664377,1.752503382,2.967718038,1.711139464,54.40733594,47.25518541,70.72834053,78.30986569,66.98029316,64.84010258,57.27536228,60.60638703,44.34508982
"UH_P087",0.09350094,0.069341259,0.108843076,0.245200829,0.33195154,0.202483471,0.23789358,0.351115467,0.366461017,47.66863722,34.5992339,40.59700821,34.129322,54.70246966,44.06976324,11.6640804,8.726485647,9.609693204,8.45206832,13.25687662,11.66004212,252.2992403,227.9187909,248.9728505,171.9664581,199.9845885,174.8741271,4.392511566,3.669141081,2.633973711,1.521613446,2.654809096,2.211346497,44.0329459,41.64826761,72.19589856,76.79855408,65.22562871,58.90882647,61.72588104,67.42400906,41.84902141
"UH_P089",0.100787285,0.079315142,0.103019931,0.278047462,0.354001511,0.309429895,0.311308719,0.386704017,0.377638555,44.00939706,32.79174182,41.76922752,44.20072761,45.13116104,47.78153649,11.41294079,8.857191688,9.303924923,9.437421558,13.49024172,12.69628675,296.7217839,237.4979353,254.4964525,191.3319277,239.3538033,210.7696194,4.055832274,3.749591075,2.666758478,1.776109821,3.021223348,3.007491733,57.18213525,43.84612656,74.46817049,69.87975244,68.02508556,54.09192148,66.61643861,62.08147979,41.11720916
"UH_P104",0.12544842,0.081195918,0.117490236,0.352030834,0.412434416,0.23294972,0.35887747,0.432998934,0.422511805,58.58577953,37.34549923,41.82490647,34.64724626,56.68724948,44.50004307,12.47329386,9.106366542,10.03558736,9.220323656,14.61141166,12.31030645,315.7241159,253.876391,379.5885494,246.8866512,297.5217347,181.0515329,5.467797864,4.418758749,3.63690308,2.273318616,4.01800332,2.487161069,46.61947623,35.231694,81.68441461,71.79471462,60.61772941,54.26903276,85.13630088,72.91714386,52.37155256
"UH_P115",0.107234622,0.077932658,0.115548442,0.299046123,0.468342624,0.243970779,0.336865233,0.456260757,0.426412194,57.60035221,28.35617919,39.81723483,42.1891107,64.30277681,45.37016493,12.1404741,7.545825286,9.965070945,9.496136314,14.56356122,11.5730178,296.5772373,237.6371737,452.0162946,206.3561358,286.29806,187.1605028,4.948062387,3.712135221,3.600783456,1.801688517,3.815383805,2.56238261,47.17479554,42.82584358,104.0821994,80.50272833,63.73778617,55.17742278,69.76071323,68.37406952,47.13616836
"UH_P128",0.102910315,0.072715835,0.101815454,0.336960836,0.405438158,0.261571826,0.317222009,0.345957801,0.439276485,57.11838046,32.31997044,43.11643135,38.36218254,57.15876071,47.5828243,12.5118791,8.526698793,9.784741528,9.561621667,13.87121599,12.0989138,307.8353768,222.3816075,316.5281027,221.0146199,264.3609145,180.011339,5.222955412,3.352106559,2.88846368,2.016783943,3.100335198,2.24072178,49.75926655,43.46729987,84.70021042,78.42178711,73.70853759,59.64413728,70.87740546,62.73412645,37.71522063
"UH_P148",0.100732247,0.062196029,0.103649061,0.262839283,0.400880287,0.163731522,0.266670974,0.384738379,0.35620527,47.53865022,29.84526636,44.07188827,43.70955724,68.44095516,49.89045921,11.43906551,8.27057173,10.18831053,10.41495225,14.88035619,12.42648685,222.000269,229.0616743,332.5810061,184.6752763,221.3023283,144.7053321,4.006161948,3.440305708,3.06612888,1.739972826,2.845515072,1.627297951,43.26223298,45.20907804,84.11894992,73.20564154,68.96961024,60.51641128,64.57880557,62.30842515,34.8036905
"UH_S018",0.10778705,0.079798935,0.102586332,0.294933573,0.387633862,0.257212476,0.322226129,0.357803913,0.352337362,46.15913132,30.2739804,38.96060356,35.27020747,68.66929334,52.70532089,11.14236059,7.807174415,9.763634067,8.459039046,15.1868658,12.20224843,255.5978421,235.2586355,327.5252123,184.1317193,260.1119058,169.8461662,3.918143771,3.156290763,3.068150923,1.702559594,3.765635698,2.661023236,53.26796296,54.52345982,88.13329009,67.14156488,56.72721835,50.64533978,68.40953125,60.3302546,45.7730122
"UH_S020",0.11223115,0.083332116,0.120056437,0.292967369,0.391966083,0.24754518,0.319557064,0.388993478,0.416936906,54.11923475,42.37327692,50.13946048,40.58257492,65.88705267,55.65282182,12.5806707,9.833537277,10.55990133,8.42321768,15.78674274,14.2982124,268.5151376,286.3828174,358.8606472,182.9969775,275.5089896,187.4630133,5.305993229,4.29003328,3.372549863,1.538791382,3.994238636,3.060956621,33.23607097,48.19648709,81.72102869,80.72487273,58.03492774,45.61955292,70.05883561,71.08396426,52.69850994
"UH_S025",0.109821662,0.078818852,0.119822462,0.339520904,0.439144556,0.263064125,0.372839757,0.418298192,0.494247627,59.68820601,35.79112833,42.46602028,39.90489781,44.18434811,38.72339821,13.07104793,8.811502337,9.831452083,9.98551758,13.91876763,11.98233638,379.0755273,291.5055967,350.6110141,250.2350029,315.2815289,177.7504493,6.509001174,4.005053716,3.448515058,2.194435537,4.018992134,2.545313285,48.93869024,52.8096114,96.56096801,79.30208085,69.98893762,53.2165086,76.20022845,73.85773181,43.69192592
